player_name,team,year,home_run_rate,label,batting_side,throwing_hand,height,weight,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,IBB,onbase_plus_slugging,TB,GIDP,HBP,SH,SF
황대인,기아타이거즈,2019,0.0,기아타이거즈-2019-황대인,R,R,"5' 10""",220,23,12,28,25,0,5,2,0,0,0,0,0,1,8,0.2,0.286,0.28,0,0.566,7,0,2,0,0
황윤호,기아타이거즈,2019,0.007692307692307693,기아타이거즈-2019-황윤호,R,R,"5' 9""",171,25,57,130,123,9,37,5,2,1,9,2,2,5,12,0.301,0.326,0.398,0,0.724,49,2,0,1,1
김주찬,기아타이거즈,2019,0.008264462809917356,기아타이거즈-2019-김주찬,R,R,"6' 0""",209,38,100,363,337,35,101,16,0,3,32,3,1,17,44,0.3,0.34,0.374,3,0.714,126,6,5,1,3
김민식,기아타이거즈,2019,0.0,기아타이거즈-2019-김민식,L,R,"5' 10""",176,30,53,116,96,6,16,2,0,0,14,2,0,15,29,0.167,0.293,0.188,0,0.481,18,1,3,0,2
김선빈,기아타이거즈,2019,0.006711409395973154,기아타이거즈-2019-김선빈,R,R,"5' 4""",169,29,121,447,394,55,115,22,0,3,40,5,4,43,26,0.292,0.36,0.371,0,0.73,146,7,1,5,4
고장혁,기아타이거즈,2019,0.0,기아타이거즈-2019-고장혁,S,R,"6' 0""",205,29,22,32,31,2,7,0,1,0,3,0,1,0,8,0.226,0.25,0.29,0,0.54,9,1,1,0,0
이범호,기아타이거즈,2019,0.03225806451612903,기아타이거즈-2019-이범호,R,R,"6' 0""",205,37,19,31,26,1,6,1,0,1,5,0,0,3,3,0.231,0.29,0.385,0,0.675,10,1,0,0,2
이창진,기아타이거즈,2019,0.01276595744680851,기아타이거즈-2019-이창진,R,R,"5' 8""",187,28,133,470,400,57,108,25,1,6,48,8,8,57,92,0.27,0.363,0.383,0,0.745,153,8,4,4,5
이인행,기아타이거즈,2019,0.0,기아타이거즈-2019-이인행,L,R,"6' 0""",209,28,9,20,16,1,3,1,0,0,2,0,0,2,6,0.188,0.316,0.25,0,0.566,4,1,1,1,0
이정훈,기아타이거즈,2019,0.0,기아타이거즈-2019-이정훈,L,R,"6' 0""",198,24,7,15,14,0,4,1,0,0,3,0,0,0,1,0.286,0.267,0.357,0,0.624,5,2,0,0,1
이진영,기아타이거즈,2019,0.0,기아타이거즈-2019-이진영,R,R,"6' 0""",180,21,11,15,15,1,2,0,0,0,2,0,0,0,4,0.133,0.133,0.133,0,0.267,2,0,0,0,0
문경찬,기아타이거즈,2019,0.0,기아타이거즈-2019-문경찬,R,R,"6' 1""",187,26,54,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
문선재,기아타이거즈,2019,0.04918032786885246,기아타이거즈-2019-문선재,R,R,"6' 0""",200,29,29,61,49,7,8,0,0,3,6,2,1,9,18,0.163,0.295,0.347,0,0.642,17,0,1,0,2
